"year","Year.Code","month","Month.Code","Deaths","Population","Crude.Rate","Crude.Rate.Lower.95..Confidence.Interval","Crude.Rate.Upper.95..Confidence.Interval","Crude.Rate.Standard.Error","X..of.Total.Deaths","population","date_yr_mnth"
1999,1999,1,"1999/01",227604,"Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","0.4%",NA,1999-01-01
1999,1999,2,"1999/02",208174,"Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","0.4%",NA,1999-02-01
1999,1999,3,"1999/03",226765,"Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","0.4%",NA,1999-03-01
1999,1999,4,"1999/04",196544,"Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","0.3%",NA,1999-04-01
1999,1999,5,"1999/05",191982,"Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","0.3%",NA,1999-05-01
1999,1999,6,"1999/06",180153,"Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","0.3%",NA,1999-06-01
1999,1999,7,"1999/07",186866,"Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","0.3%",NA,1999-07-01
1999,1999,8,"1999/08",182496,"Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","0.3%",NA,1999-08-01
1999,1999,9,"1999/09",180310,"Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","0.3%",NA,1999-09-01
1999,1999,10,"1999/10",195639,"Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","0.3%",NA,1999-10-01
1999,1999,11,"1999/11",192085,"Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","0.3%",NA,1999-11-01
1999,1999,12,"1999/12",222781,"Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","0.4%",NA,1999-12-01
2000,2000,1,"2000/01",247828,"Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","0.4%",NA,2000-01-01
2000,2000,2,"2000/02",203318,"Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","0.4%",NA,2000-02-01
2000,2000,3,"2000/03",201836,"Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","0.4%",NA,2000-03-01
2000,2000,4,"2000/04",190426,"Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","0.3%",NA,2000-04-01
2000,2000,5,"2000/05",193111,"Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","0.3%",NA,2000-05-01
2000,2000,6,"2000/06",183122,"Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","0.3%",NA,2000-06-01
2000,2000,7,"2000/07",188570,"Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","0.3%",NA,2000-07-01
2000,2000,8,"2000/08",188688,"Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","0.3%",NA,2000-08-01
2000,2000,9,"2000/09",186962,"Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","0.3%",NA,2000-09-01
2000,2000,10,"2000/10",199825,"Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","0.4%",NA,2000-10-01
2000,2000,11,"2000/11",199294,"Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","0.4%",NA,2000-11-01
2000,2000,12,"2000/12",220371,"Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","0.4%",NA,2000-12-01
2001,2001,1,"2001/01",226637,"Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","0.4%",NA,2001-01-01
2001,2001,2,"2001/02",198684,"Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","0.3%",NA,2001-02-01
2001,2001,3,"2001/03",215524,"Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","0.4%",NA,2001-03-01
2001,2001,4,"2001/04",202723,"Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","0.4%",NA,2001-04-01
2001,2001,5,"2001/05",200634,"Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","0.4%",NA,2001-05-01
2001,2001,6,"2001/06",191219,"Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","0.3%",NA,2001-06-01
2001,2001,7,"2001/07",191263,"Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","0.3%",NA,2001-07-01
2001,2001,8,"2001/08",190960,"Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","0.3%",NA,2001-08-01
2001,2001,9,"2001/09",188834,"Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","0.3%",NA,2001-09-01
